src_ip,dst_ip,packet_size,query_type,is_response,ttl,ancount,likely_spoofed_response,label
192.168.196.1,9.9.9.9,71,2,0,64,0,0,0
192.168.196.1,9.9.9.9,71,1,0,64,0,0,0
8.8.8.8,192.168.196.1,207,2,1,110,4,0,0
192.168.196.1,9.9.9.9,70,2,0,64,0,0,0
192.168.196.1,9.9.9.9,70,1,0,64,0,0,0
192.168.196.1,9.9.9.9,70,2,0,64,0,0,0
8.8.8.8,192.168.196.1,185,15,1,110,5,0,0
192.168.196.1,9.9.9.9,73,28,0,64,0,0,0
192.168.196.1,9.9.9.9,73,2,0,64,0,0,0
192.168.196.1,9.9.9.9,73,15,0,64,0,0,0
192.168.196.1,9.9.9.9,73,28,0,64,0,0,0
8.8.8.8,192.168.196.1,185,15,1,110,5,0,0
192.168.196.1,9.9.9.9,73,1,0,64,0,0,0
192.168.196.1,9.9.9.9,73,28,0,64,0,0,0
192.168.196.1,9.9.9.9,68,15,0,64,0,0,0
192.168.196.1,9.9.9.9,68,1,0,64,0,0,0
192.168.196.1,9.9.9.9,68,15,0,64,0,0,0
192.168.196.1,9.9.9.9,70,28,0,64,0,0,0
192.168.196.1,9.9.9.9,70,28,0,64,0,0,0
192.168.196.1,9.9.9.9,70,15,0,64,0,0,0
9.9.9.9,192.168.196.1,167,1,1,55,6,0,0
192.168.196.1,1.0.0.1,85,1,0,128,0,0,0
192.168.196.1,1.0.0.1,85,65,0,128,0,0,0
1.0.0.1,192.168.196.1,117,1,1,54,2,0,0
1.0.0.1,192.168.196.1,158,65,1,54,1,0,0
192.168.196.1,1.1.1.1,80,1,0,128,0,0,0
1.1.1.1,192.168.196.1,192,1,1,54,4,0,0
192.168.196.254,224.0.0.251,87,12,0,255,0,0,0
192.168.196.1,1.0.0.1,85,1,0,128,0,0,0
192.168.196.1,1.0.0.1,85,65,0,128,0,0,0
1.0.0.1,192.168.196.1,158,65,1,54,1,0,0
1.0.0.1,192.168.196.1,117,1,1,54,2,0,0
192.168.196.1,1.1.1.1,71,28,0,64,0,0,0
192.168.196.1,1.1.1.1,71,15,0,64,0,0,0
192.168.196.1,1.1.1.1,71,15,0,64,0,0,0
192.168.196.1,1.1.1.1,70,1,0,64,0,0,0
192.168.196.1,1.1.1.1,70,28,0,64,0,0,0
192.168.196.1,1.1.1.1,70,2,0,64,0,0,0
192.168.196.1,1.1.1.1,73,1,0,64,0,0,0
1.1.1.1,192.168.196.1,239,28,1,54,6,0,0
1.1.1.1,192.168.196.1,102,1,1,54,2,0,0
192.168.196.1,1.1.1.1,73,15,0,64,0,0,0
1.1.1.1,192.168.196.1,153,28,1,54,0,0,0
192.168.196.1,1.1.1.1,73,2,0,64,0,0,0
1.1.1.1,192.168.196.1,89,1,1,54,1,0,0
192.168.196.1,1.1.1.1,73,2,0,64,0,0,0
192.168.196.1,1.1.1.1,73,28,0,64,0,0,0
1.1.1.1,192.168.196.1,207,2,1,54,4,0,0
192.168.196.1,1.1.1.1,73,15,0,64,0,0,0
192.168.196.1,1.1.1.1,68,15,0,64,0,0,0
192.168.196.1,1.1.1.1,68,15,0,64,0,0,0
192.168.196.1,1.1.1.1,68,1,0,64,0,0,0
1.1.1.1,192.168.196.1,213,28,1,54,5,0,0
192.168.196.1,1.1.1.1,70,2,0,64,0,0,0
1.1.1.1,192.168.196.1,127,15,1,54,1,0,0
192.168.196.1,1.1.1.1,70,2,0,64,0,0,0
192.168.196.1,1.1.1.1,70,15,0,64,0,0,0
192.168.196.1,8.8.8.8,71,28,0,64,0,0,0
192.168.196.1,8.8.8.8,71,2,0,64,0,0,0
192.168.196.1,8.8.8.8,71,28,0,64,0,0,0
1.1.1.1,192.168.196.1,120,15,1,54,1,0,0
192.168.196.1,8.8.8.8,70,1,0,64,0,0,0
192.168.196.1,8.8.8.8,70,1,0,64,0,0,0
192.168.196.1,8.8.8.8,70,1,0,64,0,0,0
192.168.196.1,8.8.8.8,73,1,0,64,0,0,0
1.1.1.1,192.168.196.1,84,1,1,54,1,0,0
8.8.8.8,192.168.196.1,239,28,1,111,6,0,0
192.168.196.1,8.8.8.8,73,15,0,64,0,0,0
8.8.8.8,192.168.196.1,102,1,1,109,2,0,0
192.168.196.1,8.8.8.8,73,2,0,64,0,0,0
192.168.196.1,8.8.8.8,73,2,0,64,0,0,0
8.8.8.8,192.168.196.1,102,1,1,110,2,0,0
192.168.196.1,8.8.8.8,73,1,0,64,0,0,0
8.8.8.8,192.168.196.1,89,1,1,110,1,0,0
192.168.196.1,8.8.8.8,73,28,0,64,0,0,0
192.168.196.1,8.8.8.8,68,28,0,64,0,0,0
192.168.196.1,8.8.8.8,68,28,0,64,0,0,0
8.8.8.8,192.168.196.1,207,2,1,110,4,0,0
192.168.196.1,8.8.8.8,68,15,0,64,0,0,0
8.8.8.8,192.168.196.1,89,1,1,110,1,0,0
192.168.196.1,8.8.8.8,70,15,0,64,0,0,0
8.8.8.8,192.168.196.1,213,28,1,110,5,0,0
192.168.196.1,8.8.8.8,70,15,0,64,0,0,0
192.168.196.1,8.8.8.8,70,15,0,64,0,0,0
192.168.196.1,9.9.9.9,71,2,0,64,0,0,0
192.168.196.1,9.9.9.9,71,15,0,64,0,0,0
192.168.196.1,9.9.9.9,71,1,0,64,0,0,0
192.168.196.1,9.9.9.9,70,28,0,64,0,0,0
192.168.196.1,9.9.9.9,70,2,0,64,0,0,0
192.168.196.1,9.9.9.9,70,28,0,64,0,0,0
192.168.196.1,9.9.9.9,73,2,0,64,0,0,0
8.8.8.8,192.168.196.1,185,15,1,110,5,0,0
192.168.196.1,9.9.9.9,73,1,0,64,0,0,0
8.8.8.8,192.168.196.1,185,15,1,110,5,0,0
192.168.196.1,9.9.9.9,73,15,0,64,0,0,0
192.168.196.1,9.9.9.9,73,28,0,64,0,0,0
192.168.196.1,9.9.9.9,73,15,0,64,0,0,0
192.168.196.1,9.9.9.9,73,2,0,64,0,0,0
9.9.9.9,192.168.196.1,86,15,1,55,1,0,0
192.168.196.1,9.9.9.9,68,28,0,64,0,0,0
192.168.196.1,9.9.9.9,68,15,0,64,0,0,0
192.168.196.1,9.9.9.9,68,2,0,64,0,0,0
192.168.196.1,9.9.9.9,70,2,0,64,0,0,0
192.168.196.1,9.9.9.9,70,15,0,64,0,0,0
192.168.196.1,9.9.9.9,70,28,0,64,0,0,0
9.9.9.9,192.168.196.1,127,15,1,55,1,0,0
9.9.9.9,192.168.196.1,135,28,1,55,0,0,0
192.168.196.1,1.1.1.1,85,1,0,128,0,0,0
192.168.196.1,1.1.1.1,85,65,0,128,0,0,0
1.1.1.1,192.168.196.1,117,1,1,54,2,0,0
1.1.1.1,192.168.196.1,158,65,1,54,1,0,0
192.168.196.1,1.0.0.1,85,1,0,128,0,0,0
192.168.196.1,1.0.0.1,85,65,0,128,0,0,0
1.0.0.1,192.168.196.1,117,1,1,54,2,0,0
1.0.0.1,192.168.196.1,158,65,1,54,1,0,0
192.168.196.1,1.1.1.1,85,1,0,128,0,0,0
192.168.196.1,1.1.1.1,85,65,0,128,0,0,0
1.1.1.1,192.168.196.1,158,65,1,54,1,0,0
1.1.1.1,192.168.196.1,117,1,1,54,2,0,0
192.168.196.1,1.1.1.1,85,1,0,128,0,0,0
192.168.196.1,1.1.1.1,85,65,0,128,0,0,0
1.1.1.1,192.168.196.1,158,65,1,54,1,0,0
1.1.1.1,192.168.196.1,117,1,1,54,2,0,0
192.168.196.1,1.1.1.1,77,1,0,128,0,0,0
1.1.1.1,192.168.196.1,288,1,1,54,7,0,0
192.168.196.1,1.1.1.1,71,15,0,64,0,0,0
192.168.196.1,1.1.1.1,71,1,0,64,0,0,0
192.168.196.1,1.1.1.1,71,2,0,64,0,0,0
192.168.196.1,1.1.1.1,70,1,0,64,0,0,0
192.168.196.1,1.1.1.1,70,1,0,64,0,0,0
192.168.196.1,1.1.1.1,70,2,0,64,0,0,0
192.168.196.1,1.1.1.1,73,2,0,64,0,0,0
192.168.196.1,1.1.1.1,73,2,0,64,0,0,0
192.168.196.1,1.1.1.1,73,28,0,64,0,0,0
192.168.196.1,1.1.1.1,73,1,0,64,0,0,0
1.1.1.1,192.168.196.1,102,1,1,54,2,0,0
192.168.196.1,1.1.1.1,73,15,0,64,0,0,0
192.168.196.1,1.1.1.1,73,2,0,64,0,0,0
192.168.196.1,1.1.1.1,68,2,0,64,0,0,0
1.1.1.1,192.168.196.1,101,28,1,54,1,0,0
1.1.1.1,192.168.196.1,89,1,1,54,1,0,0
192.168.196.1,1.1.1.1,68,28,0,64,0,0,0
192.168.196.1,1.1.1.1,68,15,0,64,0,0,0
192.168.196.1,1.1.1.1,70,15,0,64,0,0,0
192.168.196.1,1.1.1.1,70,1,0,64,0,0,0
192.168.196.1,1.1.1.1,70,28,0,64,0,0,0
192.168.196.1,8.8.8.8,71,2,0,64,0,0,0
192.168.196.1,8.8.8.8,71,15,0,64,0,0,0
192.168.196.1,8.8.8.8,71,15,0,64,0,0,0
192.168.196.1,8.8.8.8,70,2,0,64,0,0,0
192.168.196.1,8.8.8.8,70,2,0,64,0,0,0
1.1.1.1,192.168.196.1,96,28,1,54,1,0,0
192.168.196.1,8.8.8.8,70,28,0,64,0,0,0
1.1.1.1,192.168.196.1,86,1,1,54,1,0,0
192.168.196.1,8.8.8.8,73,2,0,64,0,0,0
192.168.196.1,8.8.8.8,73,2,0,64,0,0,0
8.8.8.8,192.168.196.1,119,2,1,111,2,0,0
192.168.196.1,8.8.8.8,73,15,0,64,0,0,0
192.168.196.1,8.8.8.8,73,15,0,64,0,0,0
192.168.196.1,8.8.8.8,73,2,0,64,0,0,0
192.168.196.1,8.8.8.8,73,1,0,64,0,0,0
192.168.196.1,8.8.8.8,68,15,0,64,0,0,0
8.8.8.8,192.168.196.1,86,15,1,110,1,0,0
192.168.196.1,8.8.8.8,68,1,0,64,0,0,0
192.168.196.1,8.8.8.8,68,28,0,64,0,0,0
192.168.196.1,8.8.8.8,70,2,0,64,0,0,0
8.8.8.8,192.168.196.1,86,15,1,106,1,0,0
192.168.196.1,8.8.8.8,70,15,0,64,0,0,0
192.168.196.1,8.8.8.8,70,1,0,64,0,0,0
8.8.8.8,192.168.196.1,137,2,1,110,3,0,0
192.168.196.1,9.9.9.9,71,1,0,64,0,0,0
8.8.8.8,192.168.196.1,127,15,1,110,1,0,0
192.168.196.1,9.9.9.9,71,2,0,64,0,0,0
192.168.196.1,9.9.9.9,71,2,0,64,0,0,0
8.8.8.8,192.168.196.1,207,2,1,110,4,0,0
192.168.196.1,9.9.9.9,70,1,0,64,0,0,0
192.168.196.1,9.9.9.9,70,2,0,64,0,0,0
192.168.196.1,9.9.9.9,70,1,0,64,0,0,0
8.8.8.8,192.168.196.1,89,1,1,109,1,0,0
192.168.196.1,9.9.9.9,73,28,0,64,0,0,0
192.168.196.1,9.9.9.9,73,2,0,64,0,0,0
8.8.8.8,192.168.196.1,293,2,1,111,8,0,0
192.168.196.1,9.9.9.9,73,15,0,64,0,0,0
192.168.196.1,9.9.9.9,73,28,0,64,0,0,0
8.8.8.8,192.168.196.1,185,15,1,110,5,0,0
192.168.196.1,9.9.9.9,73,28,0,64,0,0,0
192.168.196.1,9.9.9.9,73,28,0,64,0,0,0
8.8.8.8,192.168.196.1,86,1,1,110,1,0,0
192.168.196.1,9.9.9.9,68,28,0,64,0,0,0
192.168.196.1,9.9.9.9,68,15,0,64,0,0,0
192.168.196.1,9.9.9.9,68,28,0,64,0,0,0
192.168.196.1,9.9.9.9,70,1,0,64,0,0,0
192.168.196.1,9.9.9.9,70,28,0,64,0,0,0
192.168.196.1,9.9.9.9,70,2,0,64,0,0,0
9.9.9.9,192.168.196.1,167,1,1,55,6,0,0
9.9.9.9,192.168.196.1,213,28,1,55,5,0,0
192.168.196.1,1.1.1.1,85,1,0,128,0,0,0
192.168.196.1,1.1.1.1,85,65,0,128,0,0,0
